t0,a,m1,m2,nu0,M_ch,K,nu_max,Dt_max
6539.33,1.01218,0.404125,0.253058,7.954254391050932e-05,0.2768880477662938,4.328829047473707e-07,0.006328177961532837,2345.683204802753
710.786,0.806544,0.686206,0.467743,0.0001481815570921942,0.4914052156988645,1.1261502974779361e-06,0.012886504319941695,171.60308099671886
8732.97,0.757264,0.380777,0.231931,0.00011868579749481986,0.2571384341159374,3.826558975875207e-07,0.005759585147276855,912.7597785183763
1281.6,0.80614,0.554739,0.288867,0.0001267935224218585,0.34486097067841703,6.241229657002586e-07,0.007232137316997215,469.21377706935033
91.2557,0.631994,1.02544,0.629485,0.000255836596662373,0.6953151955963951,2.0083201892973714e-06,0.01915071525164838,22.43043370437005
192.232,3.69677,0.843328,0.829587,1.8182191791050726e-05,0.7281490707549394,2.1688553383510427e-06,0.03134828837039428,23967.435157162854
522.884,0.36778,0.735259,0.494003,0.000496687247055829,0.5226044097890884,1.2478197918671547e-06,0.013803256675772882,6.153765152581892
9602.14,0.891078,0.419297,0.232787,9.592264233912103e-05,0.269666860033542,4.142311140948496e-07,0.00575310992502651,1487.7677961766642
12923.4,3.81014,0.517324,0.287446,1.205223059152523e-05,0.33285645395816854,5.883355030929091e-07,0.007215956886918053,264507.02650783747
352.531,1.05486,0.833464,0.740755,0.00011571330072997727,0.6837917120447261,1.9531539399668988e-06,0.025383721452409712,191.34478589302813
1894.51,1.47025,0.543692,0.486854,5.6897063469460164e-05,0.4477520003723192,9.644046839562978e-07,0.013839487433586565,2572.8215646817966
10540.5,11.0411,0.516646,0.355466,2.543375946789233e-06,0.3717750413868016,7.073979617322084e-07,0.00927211100008844,13936385.24000603
1176.34,1.09837,0.572563,0.316513,8.18444799430556e-05,0.36740166645806194,6.935832921375114e-07,0.008025589935035124,1356.7598313480066
281.635,2.79102,0.82702,0.750476,2.6914273049736027e-05,0.6856745638847789,1.9621256628395705e-06,0.025995807974500695,9308.825149590237
1136.2,0.945459,0.595896,0.314251,0.00010368947225711993,0.3729460182270796,7.111153351999986e-07,0.007943156404304118,704.1613574250322
