Age (Myr),Redshift
864.8146088744835,6.34368003213286
866.1296837959819,6.336244350469547
867.4447587174803,6.328827459319947
868.7598336389788,6.321429173148641
870.0749085604772,6.314049456370941
871.3899834819756,6.306688328315557
872.705058403474,6.299345556544138
874.0201333249724,6.292021133942911
875.335208246471,6.2847151016695895
876.6502831679693,6.277427247593307
877.9653580894678,6.2701575312110025
879.2804330109661,6.262905841800055
880.5955079324647,6.25567224953196
881.9105828539631,6.248456503421539
883.2256577754615,6.2412586336342075
884.5407326969599,6.23407853690701
885.8558076184584,6.2269161932754615
887.1708825399568,6.219771484700956
888.4859574614552,6.212644335643967
889.8010323829536,6.205534700939371
891.116107304452,6.198442518696782
892.4311822259505,6.19136772687948
893.7462571474489,6.184310195507025
895.0613320689473,6.177269908727747
896.3764069904457,6.170246840879359
