t0,a_i,m1,m2,nu0,M_ch,K,nu_max,Dt_max
5628.39,13.3241,0.556297,0.555038,2.1657514528591237e-06,0.48373628263415896,1.0970115273689828e-06,0.016616428836424415,13795621.706394318
1132.3,0.628768,0.683266,0.661483,0.00023239560586654212,0.5852438418990391,1.506924547204828e-06,0.021336971861209517,38.625457389376585
274.349,9.20727,1.00102,0.311864,4.097885345458721e-06,0.4709768151481167,1.0492105141267037e-06,0.007747333669477805,2633621.324701868
3984.65,21.703,0.760937,0.256622,9.96880470350807e-07,0.37400174831177563,7.144735246511206e-07,0.0062704917875128045,167703090.12946853
3660.31,9.68687,0.563948,0.581888,3.5475536157697036e-06,0.49868072768307825,1.1540759584068508e-06,0.016938390436051227,3517200.543227529
11982.8,471.477,0.598705,0.557935,1.0496663626372268e-08,0.5030813912444685,1.1710996247654872e-06,0.016632591872540417,19209299051673.734
9974.95,232.975,0.557677,0.551656,2.959442655847207e-08,0.48285669922065927,1.0936890276840152e-06,0.01646545912569995,1296547524185.5908
1649.24,0.549493,0.535629,0.625399,0.0002643145336116496,0.503551878328151,1.172925568512555e-06,0.01562600182406426,35.20794532244716
2561.85,0.461003,0.482582,0.587303,0.00033018387918573626,0.4630123585622774,1.019806381026245e-06,0.013588571599226591,22.37109427555068
1776.21,4.36284,0.593678,0.685187,1.2399419834835673e-05,0.554946480834542,1.3791619152395838e-06,0.018024761357490825,104605.9871230402
548.628,19.8749,0.946388,0.28758,1.252672271037151e-06,0.43917333459607416,9.338060675466824e-07,0.007080777367533883,69783408.37595907
914.288,1.2961,0.615367,0.703009,7.775079205180433e-05,0.5723335369848372,1.451929105841378e-06,0.018993763853809256,743.1622665004273
1783.51,5.98863,0.616893,0.680818,7.766774824765443e-06,0.5640387297122865,1.4170275570952942e-06,0.019117903722344332,354450.2106550901
256.08,1.06831,0.769567,0.971707,0.0001194072126990212,0.7517884297755458,2.2874739075693027e-06,0.026849721116129148,150.24645363761078
9459.21,62.5852,0.663036,0.390754,2.0716315355888638e-07,0.44006163750676675,9.369561593478919e-07,0.010258404818717226,8440265991.008543
1398.58,0.364654,0.598475,0.573811,0.000491290379816991,0.5101315851656669,1.1985802294688704e-06,0.01733314262735552,6.596403301164544
513.021,11.8623,0.871769,0.941822,3.2935121105961642e-06,0.7887044315853634,2.477729480254521e-06,0.034370004451679474,1997239.6494074026
10315.5,9.97749,0.468914,0.489114,3.103130879056228e-06,0.41689466306117107,8.561975462009391e-07,0.013272891631612415,6774353.880479548
292.331,9.75445,1.02681,0.305663,3.78588983229981e-06,0.4710945640808555,1.0496477391651603e-06,0.007570889114331022,3251501.3531667646
3351.45,4.09975,0.379863,0.221955,9.33769035597773e-06,0.2509817374219603,3.675081337045299e-07,0.005486942601132513,836250.8092193578
2333.61,8.56477,0.59582,0.654943,4.45817281303373e-06,0.5436960077438436,1.3328777753133676e-06,0.018191718983140114,1655897.2401233618
1712.65,6.67836,0.630082,0.677035,6.619046556968365e-06,0.5685151252717693,1.4358204202918355e-06,0.019765327682227222,535822.3422701196
5751.18,28.432,0.560042,0.581183,7.040726371338283e-07,0.4966447452622733,1.146233668827455e-06,0.016768568102020754,264234204.4440747
506.782,3.60004,0.707182,0.749434,1.7654462197046418e-05,0.6337088012106118,1.72059894034295e-06,0.023639937610906943,32680.132395418987
6188.21,453.088,0.609984,0.615352,1.1468238073973465e-08,0.5333523308397449,1.290883595981804e-06,0.01895906350756881,13762494477034.416
859.472,0.595555,0.674918,0.564672,0.0002420466983193942,0.5369980957505431,1.3056236125140217e-06,0.016757261617223983,39.99640604813088
205.408,3.30938,0.840035,0.750573,2.0931703192781832e-05,0.6910374098873968,1.9877694785617047e-06,0.025967267327370706,17963.759764689574
751.384,1.05106,0.970118,0.749267,0.00012158730926909994,0.7409724727209587,2.2328876755937876e-06,0.02559288665887687,146.66943733856067
7328.6,212.129,0.552822,0.553828,3.4021074095410864e-08,0.48169715159916165,1.0893151658714878e-06,0.016526656659173182,897622715222.3782
4500.97,23.0066,0.749923,0.261266,9.105010463977353e-07,0.3752263031336996,7.183766549364993e-07,0.0063968739774773135,212393895.93074286
795.756,29.6004,0.996305,0.303925,7.074677787512624e-07,0.4633308359720711,1.020975751380905e-06,0.00752590282185511,292870462.150369
474.052,1.43779,1.27261,0.787562,8.318624018837804e-05,0.866577392329241,2.8987383151415676e-06,0.027510971122009942,310.8582210183563
4264.87,5.97649,0.551751,0.573934,7.255746272399332e-06,0.4898686799882608,1.1202876341524565e-06,0.016426621261709778,537560.0646206794
