z,freq_0,freq_0_nums,freq_1,freq_1_nums,freq_2,freq_2_nums,freq_3,freq_3_nums,freq_4,freq_4_nums,freq_5,freq_5_nums,freq_6,freq_6_nums,freq_7,freq_7_nums,freq_8,freq_8_nums,freq_9,freq_9_nums,freq_10,freq_10_nums,freq_11,freq_11_nums,freq_12,freq_12_nums,freq_13,freq_13_nums,freq_14,freq_14_nums,freq_15,freq_15_nums,freq_16,freq_16_nums,freq_17,freq_17_nums,freq_18,freq_18_nums,freq_19,freq_19_nums,freq_20,freq_20_nums,freq_21,freq_21_nums,freq_22,freq_22_nums,freq_23,freq_23_nums,freq_24,freq_24_nums
4.2,11.484081356438951,1.3483312320588746e+17,39.98811350237909,1.6390822158955658e+17,92.14204465804958,1.2981593085617138e+17,161.12750239619265,8.172715023052808e+16,201.85429451690123,3.428868212935024e+16,252.47390676989696,1.4875210926112878e+16,270.8702538080432,4954295591670847.0,281.35980907753174,1569285121765587.0,286.732592098113,492188900800890.56,316.81920878177357,191283356830013.3,318.57985262168796,56257330407536.03,315.3249052805165,15475506215746.533,269.01687744527067,2632991601064.808,220.4133220908586,526578604554.7212,22.63723710779066,7800632946.827819,4.366832743451948,345572282.2974449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,10.517579292943866,1.1469766816125032e+17,29.299160311745613,1.0901187773477061e+17,53.73687787103242,7.275107753146699e+16,84.70094562153167,4.120594270292027e+16,102.03639368244825,1.7060017161245078e+16,130.13605617736894,7647743349643612.0,139.8174127894145,2403657350541782.0,143.73495208106218,746006689908850.9,146.67302091981898,231665810195025.53,160.55983286506728,88060327541974.12,161.57801286716688,25893820626137.523,159.40663392957228,6958574963625.403,138.0514426377178,1252079924050.376,104.23711974228257,224385616926.8203,8.621940470044601,2496507004.1306458,1.4767028833677027,108891886.14580622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.266531226520788,4.149273932770171e+16,15.040362026913074,5.263634137615016e+16,32.089616469386975,3.975557706909291e+16,38.99267766491594,1.815892349334819e+16,54.16842025300513,8653884120373351.0,70.91644582195238,3952166991446971.5,75.08354620538138,1226124600951450.2,75.92106571629586,367700589283279.9,78.26790879856378,116568787293765.05,82.4121252365929,39495950031445.9,83.14497917277409,11654658078285.648,80.81848734544036,2931173459767.2026,71.98889485357569,586543012759.0317,49.23163117214412,94016945248.3892,5.127916132061092,1420171250.5601084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,1.6974196637470693,1.7936229414539596e+16,8.765574094440755,2.8728758236817364e+16,16.925778126099175,2.1528429687118364e+16,18.320138615144927,8156394074302215.0,29.115202099658024,4494448631437578.5,37.54932118035999,1991186238696927.5,39.848638723164015,617338443756537.2,39.78347297824491,181106991916591.16,42.1139430127605,61681655929807.96,43.466188310303686,19625703264131.02,44.098908411262066,5818428411545.606,42.12721864972829,1366479216766.6077,37.684771071191854,273994036097.814,21.103374444181775,33555697700.165607,2.9482659170667156,773506374.5491261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,1.783977951137537,1.8382585575410896e+16,3.549716644819247,1.154954366523581e+16,8.043769617787667,1.0291288901202522e+16,9.848925276600111,4118377917656924.5,15.317330100958621,2319500003476367.5,19.820233070381246,948685179450844.6,21.283491318289588,295462214187382.06,21.302802725371475,86925877954977.06,22.8994084748849,31463955962036.785,23.588595751997158,9830390804462.86,23.872823605468593,2899681021656.4546,20.58076317996519,460855034790.3585,19.709266251717764,123156243769.62527,9.111445433285617,11975857967.527905,1.7401851823079955,431260100.23095185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.317099870700824,1.2043104397558904e+16,2.4310857638865078,7619370912933956.0,2.6166319837349787,3226712641769908.5,4.63135658328025,1918397629598089.0,8.40881256522274,1129604176501188.2,11.516253579751114,477382393472514.4,12.07674324461307,144342721792451.0,12.168169496440637,42651713780737.09,13.004037893292287,15431567179702.994,13.160296142868539,4583286826397.237,13.460247597969841,1347710683518.5696,12.01134496764473,244791903690.56607,11.145651063645957,61267196655.8696,3.630731975235383,3807165134.5643363,0.8271106542138806,179821393.9402896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,0.1541902172377874,1468574154057224.8,1.1601228872972436,3297305223702964.0,1.13319719077329,1329563069128192.5,1.9006601004690753,846741178906662.0,4.71195555360629,542415242281329.56,5.720239413612455,165828076858147.16,6.042757716895782,50566764871079.14,6.039982366720936,14754547912648.258,6.344716359996997,5220176600562.981,6.403823397395961,1551061124902.0046,6.597273146887499,463576542515.9762,6.369567938266682,114130385233.23203,5.806909994480546,27114657152.815002,1.5154412925308094,1278207096.681246,0.5972729806169201,125141674.83553693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.08993900177681721,578720681707308.4,0.1976412538754857,509388579004856.1,0.33568416709902715,285509257567904.7,0.9049711662709873,226426376147180.25,2.300254685416826,172621441295527.34,2.730168356256317,65905646005395.31,2.7799663039415363,21505836061073.14,2.818723231217654,6422479241809.353,2.856432360672372,1935658112201.767,2.977870569183603,593832591766.2852,3.0432206843745457,177375823397.76538,3.0431412375309495,51945582204.10022,2.6702182266038563,11633276394.723188,0.602561130923969,426852336.5430418,0.27628503653255115,52306550.35098478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2129758953141739,31985216260325.137,0.3102639042603882,17429669247097.738,0.2022597931098497,2807671841628.6665,0.15353446939832752,465698372798.4239,0.1532181807541452,136105261931.17313,0.1531256108748044,39836287415.77722,0.21093006705761772,19536372499.824234,0.21091814263586245,5721172888.742958,0.21091464895237866,1675499338.7469094,0.21091362485585866,490691726.93073845,0.15308736143502383,85803220.19313173,0.07916886755725058,12533388.989193445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
